date,total_value,eq,year,daily_ret
2023-12-20,828914.1165000059,0.0,2023,-0.0006801865567510612
2023-12-21,829217.916500006,0.0,2023,0.0003665035906046388
2023-12-22,830315.3165000059,0.0,2023,0.001323415688643026
2023-12-25,830984.916500006,0.0,2023,0.0008064406216454767
2023-12-26,831617.316500006,0.0,2023,0.0007610246437006474
2023-12-27,832417.1165000059,0.0,2023,0.0009617404353314818
2023-12-28,833154.9165000059,0.0,2023,0.0008863344894949332
2023-12-29,833886.5165000058,0.0,2023,0.0008781080030990651
2024-01-02,833198.3165000059,0.8,2024,-0.0008252921547268199
2024-01-03,842607.006300006,0.8,2024,0.011292257333791689
2024-01-04,842740.906300006,0.8,2024,0.0001589115673130692
2024-01-05,846044.7063000059,0.8,2024,0.003920303352195287
2024-01-08,848084.3063000059,0.8,2024,0.0024107473101744326
2024-01-09,849500.8063000059,0.8,2024,0.0016702348923067767
2024-01-10,843227.3063000059,0.8,2024,-0.0073849253037489015
2024-01-11,836324.2063000059,0.8,2024,-0.00818652331159675
2024-01-12,834879.1063000058,0.8,2024,-0.0017279184186158592
2024-01-15,836211.1063000059,0.8,2024,0.0015954405733102917
2024-01-16,836092.8063000059,0.8,2024,-0.00014147145273335493
2024-01-17,836913.5063000058,0.8,2024,0.000981589596054322
2024-01-18,825762.2063000059,0.8,2024,-0.01332431597298489
2024-01-19,821539.8063000059,0.8,2024,-0.005113336463918983
2024-01-22,802866.2063000059,0.8,2024,-0.022730000246854565
2024-01-23,806932.4063000059,0.8,2024,0.00506460474745718
2024-01-24,823194.406300006,0.8,2024,0.020152865188009406
2024-01-25,840780.4063000059,0.8,2024,0.021363118924778934
2024-01-26,850625.7063000059,0.8,2024,0.011709716266255388
2024-01-29,847907.1063000059,0.8,2024,-0.003196000285278444
2024-01-30,842800.1063000058,0.8,2024,-0.006023065453815368
2024-01-31,849094.4063000059,0.8,2024,0.007468318944135799
2024-02-01,839558.7063000059,0.0,2024,-0.011230435543148287
2024-02-02,838176.1578000059,0.0,2024,-0.0016467561942070663
2024-02-05,839139.9578000058,0.0,2024,0.0011498776134717392
2024-02-06,837913.8578000058,0.0,2024,-0.0014611388584264695
2024-02-07,837535.657800006,0.0,2024,-0.00045135904661230963
2024-02-08,838993.5578000058,0.0,2024,0.001740702006442607
2024-02-19,838749.5578000059,0.0,2024,-0.0002908246407036241
2024-02-20,839005.7578000058,0.0,2024,0.0003054547064942348
2024-02-21,839512.0578000059,0.0,2024,0.0006034523545197512
2024-02-22,839865.8578000058,0.0,2024,0.0004214352810214539
2024-02-23,840878.4578000058,0.0,2024,0.0012056687274470956
2024-02-26,840951.6578000057,0.0,2024,8.705181982127108e-05
2024-02-27,841183.4578000059,0.0,2024,0.0002756401011285714
2024-02-28,841250.5578000059,0.0,2024,7.976856817348832e-05
2024-02-29,841561.657800006,0.0,2024,0.0003698065898627423
2024-03-01,841067.5578000059,1.0,2024,-0.0005871227561528025
2024-03-04,849569.905700006,1.0,2024,0.01010899519444064
2024-03-05,852630.5057000059,1.0,2024,0.0036025287377359216
2024-03-06,852198.1057000059,1.0,2024,-0.0005071364408255619
2024-03-07,850648.5057000059,1.0,2024,-0.0018183565413197877
2024-03-08,857381.0057000059,1.0,2024,0.007914549846249175
2024-03-11,852175.7057000061,1.0,2024,-0.006071163188120732
2024-03-12,841661.105700006,1.0,2024,-0.012338535268807127
2024-03-13,836797.3057000061,1.0,2024,-0.005778810458343275
2024-03-14,835547.7057000061,1.0,2024,-0.001493312647505074
2024-03-15,836433.2057000059,1.0,2024,0.0010597838926000858
2024-03-18,839119.2057000061,1.0,2024,0.0032112546246323426
