factor,horizon_days,market_state,weeks,mean_rank_ic,ic_t_stat,top_minus_bottom_return,top_minus_bottom_hit_rate
momentum_120,5,all,172,0.0040275053798753645,0.11659616223632721,0.0010200540893122666,0.5174418604651163
momentum_120,5,bear,40,0.04589864457454977,0.8203426051300532,0.0010952352651583113,0.55
momentum_120,5,bear_high_vol,30,-0.0715802126124903,-0.884683259305044,-0.005539226248633221,0.43333333333333335
momentum_120,5,bull,29,-0.03657242992018261,-0.3507754511796387,-0.003817004535475192,0.4827586206896552
momentum_120,5,bull_high_vol,29,0.06369168356997972,0.6922213781536622,0.014294640722315321,0.5862068965517241
momentum_120,5,range,27,0.017541315475123696,0.2358800715956753,0.002908217718974145,0.5925925925925926
momentum_120,5,range_high_vol,17,-0.015051903114186853,-0.11666720909526475,-0.0049739204480171535,0.4117647058823529
momentum_120,20,all,172,-0.005694254445964438,-0.17111858202352462,0.002094263506627996,0.4941860465116279
momentum_120,20,bear,40,-0.019779411764705886,-0.30633491739849417,-0.0020078995869731177,0.45
momentum_120,20,bear_high_vol,30,-0.10323529411764705,-1.0812448799654153,-0.00784854659399284,0.43333333333333335
momentum_120,20,bull,29,-0.026064908722109533,-0.27730417259406703,-0.008418851174021087,0.5172413793103449
momentum_120,20,bull_high_vol,29,0.1262677484787018,1.8427234950429343,0.02933556966809736,0.6206896551724138
momentum_120,20,range,27,-0.03562091503267975,-0.6488829206029639,-0.005583203073655181,0.4074074074074074
momentum_120,20,range_high_vol,17,0.05674740484429065,0.4604475402240648,0.01294984418230606,0.5882352941176471
low_volatility_20,5,all,172,-0.0017559040021721713,-0.04806797079503965,-0.002928680416415504,0.47674418604651164
low_volatility_20,5,bear,40,-0.03429826648690851,-0.4508359237779799,-0.002272421165585252,0.475
low_volatility_20,5,bear_high_vol,30,0.010253569581774187,0.12563926156643995,-0.000715225726261821,0.5333333333333333
low_volatility_20,5,bull,29,0.041985142006129614,0.44871537836740816,-0.0008184908062279286,0.4482758620689655
low_volatility_20,5,bull_high_vol,29,0.06379310344827586,0.6081111695704567,0.0004949557914711195,0.5172413793103449
low_volatility_20,5,range,27,-0.016534722411721957,-0.2015156946871083,-0.006333956352363764,0.4444444444444444
low_volatility_20,5,range_high_vol,17,-0.10934256055363323,-1.004350862006275,-0.01241059272179017,0.4117647058823529
low_volatility_20,20,all,172,-0.015389876880984948,-0.4413725869673428,-0.009822519669209452,0.45348837209302323
low_volatility_20,20,bear,40,-0.04110294117647059,-0.5813552704228147,-0.01285955776481364,0.45
low_volatility_20,20,bear_high_vol,30,0.0642156862745098,0.7688116827580854,-0.008931903345700699,0.5333333333333333
low_volatility_20,20,bull,29,0.024847870182555805,0.24235940704657571,-0.00652326620885996,0.4827586206896552
low_volatility_20,20,bull_high_vol,29,0.010243407707910745,0.12206201726995716,0.000706749660741045,0.5517241379310345
low_volatility_20,20,range,27,-0.10806100217864924,-1.412535240227888,-0.012713058277059715,0.25925925925925924
low_volatility_20,20,range_high_vol,17,-0.060553633217993084,-0.5785258316417409,-0.023247201103788143,0.4117647058823529
drawdown_20,5,all,172,0.03241275319644989,0.9875766614529468,0.0018401570553544702,0.5406976744186046
drawdown_20,5,bear,40,-0.010019734374695962,-0.15115639296253192,-0.0007111186962800887,0.5
drawdown_20,5,bear_high_vol,30,-0.012304316162311365,-0.1573453435466918,0.000288694535662463,0.5
drawdown_20,5,bull,29,0.05659940162994253,0.7469369853217996,0.0068512447303324675,0.6206896551724138
drawdown_20,5,bull_high_vol,29,0.07718200235745061,0.8730912789975309,7.397614663374684e-05,0.5862068965517241
drawdown_20,5,range,27,0.18766678162659864,2.425440991162093,0.013635099877481842,0.6666666666666666
drawdown_20,5,range_high_vol,17,-0.15304420058270604,-1.4940669455887625,-0.013687539813043026,0.29411764705882354
drawdown_20,20,all,172,0.03134696254579469,0.9749173444974539,0.0028747955733575397,0.5465116279069767
drawdown_20,20,bear,40,0.029984788262267387,0.45238166480886954,0.0014034360846315297,0.55
drawdown_20,20,bear_high_vol,30,-0.014815492872521529,-0.1952741298587343,-0.002217500627260602,0.5666666666666667
drawdown_20,20,bull,29,0.032745587030439664,0.38488846623520145,0.016307747287225907,0.5517241379310345
drawdown_20,20,bull_high_vol,29,0.10409681305310815,1.4709232602891038,-0.001341435234321545,0.5517241379310345
drawdown_20,20,range,27,0.10037832255742972,1.313285120880928,0.005861849357309625,0.5555555555555556
drawdown_20,20,range_high_vol,17,-0.12011138223010903,-1.0209930034906185,-0.005143562831266626,0.47058823529411764
