date,total_value,cash,positions,is_rebalance,market_mode,nav,daily_return,benchmark
2021-11-01,1279097.2571000028,6371.857100002933,{'511010': 10200},False,bear,1.2790972571000028,0.000726195016882647,1.2004352030947776
2021-11-02,1280127.457100003,6371.857100002933,{'511010': 10200},False,bear,1.280127457100003,0.0008054117810680772,1.187862669245648
2021-11-03,1281127.057100003,6371.857100002933,{'511010': 10200},False,bear,1.2811270571000029,0.0007808597452196864,1.183027079303675
2021-11-04,1280678.2571000028,6371.857100002933,{'511010': 10200},False,bear,1.2806782571000028,-0.0003503165416051113,1.1943907156673115
2021-11-05,1281983.857100003,6371.857100002933,{'511010': 10200},True,bear,1.2819838571000028,0.0010194598001189714,1.1902804642166345
2021-11-08,1283136.457100003,6371.857100002933,{'511010': 10200},False,bear,1.283136457100003,0.0008990752836837146,1.1893133462282397
2021-11-09,1282034.857100003,6371.857100002933,{'511010': 10200},False,bear,1.2820348571000029,-0.0008585213161894645,1.1888297872340425
2021-11-10,1283697.4571000028,6371.857100002933,{'511010': 10200},False,bear,1.2836974571000028,0.0012968446144754342,1.1827852998065764
2021-11-11,1283340.457100003,6371.857100002933,{'511010': 10200},False,bear,1.283340457100003,-0.00027810291126240116,1.202127659574468
2021-11-12,1281932.857100003,6371.857100002933,{'511010': 10200},True,bear,1.281932857100003,-0.0010968250803694568,1.2016441005802707
2021-11-15,1282891.657100003,6371.857100002933,{'511010': 10200},False,bear,1.282891657100003,0.0007479330876727364,1.200193423597679
2021-11-16,1283381.257100003,6371.857100002933,{'511010': 10200},False,bear,1.2833812571000032,0.0003816378392442754,1.1992263056092842
2021-11-17,1283401.657100003,6371.857100002933,{'511010': 10200},False,bear,1.283401657100003,1.5895510306895844e-05,1.1989845261121856
2021-11-18,1284238.057100003,6371.857100002933,{'511010': 10200},False,bear,1.284238057100003,0.0006517055633930013,1.1883462282398451
2021-11-19,1283493.457100003,6371.857100002933,{'511010': 10200},True,bear,1.283493457100003,-0.0005797990457325763,1.2016441005802707
